Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Hist2h2ac	histone cluster 2, H2ac	MGI:MGI:2448316	H2a-613b
Hist2h2ab	histone cluster 2, H2ab	MGI:MGI:2448314	EG621893|H2a-613a
Patz1	POZ (BTB) and AT hook containing zinc finger 1	MGI:MGI:1891832	8430401L15Rik|MAZR|POZ-AT hook-zinc finger protein|Zfp278
Zfp276	zinc finger protein (C2H2 type) 276	MGI:MGI:1888495	D8Ertd370e|D8Ertd377e
E2f7	E2F transcription factor 7	MGI:MGI:1289147	A630014C11Rik|D10Ertd739e
Zfp697	zinc finger protein 697	MGI:MGI:2139736	
Hist1h2af	histone cluster 1, H2af	MGI:MGI:2448309	H2a-221
Hist1h2ab	histone cluster 1, H2ab	MGI:MGI:2448306	H2A.1|H2a-53
Hist1h2ao	histone cluster 1, H2ao	MGI:MGI:2448302	
Hist1h2an	histone cluster 1, H2an	MGI:MGI:2448300	
Dlg1	discs, large homolog 1 (Drosophila)	MGI:MGI:107231	B130052P05Rik|Dlgh1|SAP97
Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	MGI:MGI:2144727	
1700012L04Rik	RIKEN cDNA 1700012L04 gene	MGI:MGI:1923633	H2AL1
Cic	capicua transcriptional repressor	MGI:MGI:1918972	1200010B10Rik
Nrip2	nuclear receptor interacting protein 2	MGI:MGI:1891884	NIX1
Armcx3	armadillo repeat containing, X-linked 3	MGI:MGI:1918953	1200004E24Rik
Cdc5l	cell division cycle 5-like (S. pombe)	MGI:MGI:1918952	1200002I02Rik|PCDC5RP
Sgf29	SAGA complex associated factor 29	MGI:MGI:1922815	1700023O11Rik|Ccdc101
Zfp182	zinc finger protein 182	MGI:MGI:2442220	6330583I20Rik
Creb3l3	cAMP responsive element binding protein 3-like 3	MGI:MGI:2384786	CREB-H|D10Bur1e
Trim11	tripartite motif-containing 11	MGI:MGI:2137355	
Zfp719	zinc finger protein 719	MGI:MGI:2444708	9430094P17Rik|C630016O21Rik|mszf6
Zfp53	zinc finger protein 53	MGI:MGI:99200	D030067O06Rik|KRAZ1|zfas8|Zfp118|Zfp-53
Zfp54	zinc finger protein 54	MGI:MGI:99201	clone 18|KRAB10|Zfp-54|Zfp76
Zfp60	zinc finger protein 60	MGI:MGI:99207	6330516O17Rik|Mfg3|Mfg-3
Ripk3	receptor-interacting serine-threonine kinase 3	MGI:MGI:2154952	2610528K09Rik|Rip3
Zp3	zona pellucida glycoprotein 3	MGI:MGI:99215	Zp-3
Zfp286	zinc finger protein 286	MGI:MGI:2384758	
Phf21a	PHD finger protein 21A	MGI:MGI:2384756	80kDa|Bhc80|Braf35/HDAC complex (Bhc)|D030065N23Rik|PFTF1
Irx3	Iroquois related homeobox 3	MGI:MGI:1197522	
Nkx2-3	NK2 homeobox 3	MGI:MGI:97348	Nkx-2.3|Nkx2.3|tinman
Wbscr22	Williams Beuren syndrome chromosome region 22	MGI:MGI:1913388	1110003N24Rik
Elof1	ELF1 homolog, elongation factor 1	MGI:MGI:1913376	1110011K10Rik
Zfp553	zinc finger protein 553	MGI:MGI:2384725	2600009K23Rik|C330013F15Rik|ENSMUSG00000054461
Mycn	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	MGI:MGI:97357	bHLHe37|Nmyc|N-myc|Nmyc1|Nmyc-1
Sarnp	SAP domain containing ribonucleoprotein	MGI:MGI:1913368	1110005A23Rik
Tox2	TOX high mobility group box family member 2	MGI:MGI:3611233	LOC269389|RxHMG1
Etv1	ets variant 1	MGI:MGI:99254	ER81|Etsrp81
Prkci	protein kinase C, iota	MGI:MGI:99260	2310021H13Rik|aPKClambda|Pkci|Pkcl|PKClambda|Prkcl
Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	MGI:MGI:1891917	1300003C17Rik|14-3-3 beta
Plag1	pleiomorphic adenoma gene 1	MGI:MGI:1891916	
Foxo4	forkhead box O4	MGI:MGI:1891915	afx|Afxh|Mllt7
Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	MGI:MGI:1918764	1110004P21Rik|2810416M14Rik|5730453G22Rik|9030402K04Rik|D4Ertd314e|PSF|REP1
Setd6	SET domain containing 6	MGI:MGI:1913333	0610039J04Rik
Chchd3	coiled-coil-helix-coiled-coil-helix domain containing 3	MGI:MGI:1913325	0610041L09Rik|1700039J09Rik
Glmp	glycosylated lysosomal membrane protein	MGI:MGI:1913318	0610031J06Rik|NCU-G1
Hist1h2ak	histone cluster 1, H2ak	MGI:MGI:2448297	
Kdm4a	lysine (K)-specific demethylase 4A	MGI:MGI:2446210	D4Ertd222e|JHDM3A|Jmjd2|Jmjd2a
Hist1h2ag	histone cluster 1, H2ag	MGI:MGI:2448293	
Nfkbid	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta	MGI:MGI:3041243	IkappaBNS
Hist1h2ae	histone cluster 1, H2ae	MGI:MGI:2448290	
Eid1	EP300 interacting inhibitor of differentiation 1	MGI:MGI:1889651	2610002K20Rik|Cri1|EID-1|ORF12
Hist1h2ac	histone cluster 1, H2ac	MGI:MGI:2448287	
Hist2h2aa2	histone cluster 2, H2aa2	MGI:MGI:2448283	H2a-614
Zfp940	zinc finger protein 940	MGI:MGI:2446235	BC027344
Setd1a	SET domain containing 1A	MGI:MGI:2446244	KMT2F
Usp15	ubiquitin specific peptidase 15	MGI:MGI:101857	4921514G19Rik|E430033I05Rik|Gcap18
Gm14431	predicted gene 14431	MGI:MGI:3709638	
Rbm15b	RNA binding motif protein 15B	MGI:MGI:1923598	1810017N16Rik
Spg20	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	MGI:MGI:2139806	TAHCCP1
Homez	homeodomain leucine zipper-encoding gene	MGI:MGI:2678023	
Sox30	SRY (sex determining region Y)-box 30	MGI:MGI:1341157	
H2afz	H2A histone family, member Z	MGI:MGI:1888388	H2A.Z
Mydgf	myeloid derived growth factor	MGI:MGI:2156020	D17Wsu104e
Mapk11	mitogen-activated protein kinase 11	MGI:MGI:1338024	P38b|p38beta|Prkm11|Sapk2
Phf2	PHD finger protein 2	MGI:MGI:1338034	
Zfp64	zinc finger protein 64	MGI:MGI:107342	
Ovol2	ovo like zinc finger 2	MGI:MGI:1338039	1810007D21Rik|M-OVO|movo2|M-OVO-A|M-OVO-B|Zfp339
Phf14	PHD finger protein 14	MGI:MGI:1923539	1110001C23Rik|4932409F11Rik|5730446A07Rik
Snip1	Smad nuclear interacting protein 1	MGI:MGI:2156003	2410133M08Rik
Zbed3	zinc finger, BED type containing 3	MGI:MGI:1919364	0610037K01Rik|2610005H11Rik
Tceb1	transcription elongation factor B (SIII), polypeptide 1	MGI:MGI:1915173	2610301I15Rik|elongin C
Zfp846	zinc finger protein 846	MGI:MGI:1924012	2210010B09Rik
Ube2i	ubiquitin-conjugating enzyme E2I	MGI:MGI:107365	5830467E05Rik|Mmubc9|UBC9|Ubce9
Tcea2	transcription elongation factor A (SII), 2	MGI:MGI:107368	S-II-T1|SII-T1|Tceat
Zbtb10	zinc finger and BTB domain containing 10	MGI:MGI:2139883	
Pdpk1	3-phosphoinositide dependent protein kinase 1	MGI:MGI:1338068	Pdk1|Pkb kinase
Pcgf5	polycomb group ring finger 5	MGI:MGI:1923505	0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik
Pogk	pogo transposable element with KRAB domain	MGI:MGI:1918842	9130401E23Rik|BASS2
Dkk3	dickkopf WNT signaling pathway inhibitor 3	MGI:MGI:1354952	
Nrbf2	nuclear receptor binding factor 2	MGI:MGI:1354950	
Mir23a	microRNA 23a	MGI:MGI:2676897	Mirn23a|mmu-mir-23a
Mir210	microRNA 210	MGI:MGI:2676886	Mirn210|mmu-mir-210
Adipoq	adiponectin, C1Q and collagen domain containing	MGI:MGI:106675	Acdc|Acrp30|Ad|adipo|adiponectin|apM1|APN|GBP28
Dsg4	desmoglein 4	MGI:MGI:2661061	CDHF13|lah
Rbpms	RNA binding protein gene with multiple splicing	MGI:MGI:1334446	2010300K22Rik|2700019M19Rik|hermes
Epcam	epithelial cell adhesion molecule	MGI:MGI:106653	CD326|EGP-2|Egp314|Ep-CAM|EpCAM1|GA733-2|gp40|Ly74|panepithelial glycoprotein 314|Tacstd1|TROP1
Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	MGI:MGI:1933786	1200003J13Rik|1810053A11Rik|Tid-1
Mir16-1	microRNA 16-1	MGI:MGI:2676843	miR-16|mir-16-1|Mirn16|Mirn16-1|mmu-mir-16-1
Vgll4	vestigial like family member 4	MGI:MGI:2652840	VGL-4
Mir147	microRNA 147	MGI:MGI:2676832	Mirn147|mmu-mir-147
Mir122	microRNA 122	MGI:MGI:2676805	Mir122a|Mirn122a|mmu-mir-122|mmu-mir-122a
Hdac7	histone deacetylase 7	MGI:MGI:1891835	5830434K02Rik|Hdac7a
Nupr1	nuclear protein transcription regulator 1	MGI:MGI:1891834	2310032H04Rik|Com1|p8
Ripply3	ripply transcriptional repressor 3	MGI:MGI:2181192	Dscr6
Trnp1	TMF1-regulated nuclear protein 1	MGI:MGI:1916789	2300002D11Rik
Psmc4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	MGI:MGI:1346093	CAR interacting protein 21|CIP21|MIP224
Lemd3	LEM domain containing 3	MGI:MGI:3580376	Man1
Zfp397	zinc finger protein 397	MGI:MGI:1916506	2810411K16Rik|6720480F11Rik
Ptprk	protein tyrosine phosphatase, receptor type, K	MGI:MGI:103310	PTPk|RPTPkappa
Bmp7	bone morphogenetic protein 7	MGI:MGI:103302	OP1|osteogenic protein 1
Irf4	interferon regulatory factor 4	MGI:MGI:1096873	IRF-4|Spip
Zkscan4	zinc finger with KRAB and SCAN domains 4	MGI:MGI:3649412	
Etv5	ets variant 5	MGI:MGI:1096867	1110005E01Rik|8430401F14Rik|erm
Safb2	scaffold attachment factor B2	MGI:MGI:2146808	
Skap1	src family associated phosphoprotein 1	MGI:MGI:1925723	1700091G21Rik|Skap-55
Zfp568	zinc finger protein 568	MGI:MGI:2142347	chato|LOC381866
Zik1	zinc finger protein interacting with K protein 1	MGI:MGI:108070	
Ccnt2	cyclin T2	MGI:MGI:1920199	2900041I18Rik|CycT2
Ddx41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	MGI:MGI:1920185	2900024F02Rik
Zfp574	zinc finger protein 574	MGI:MGI:2442951	A630056B21Rik
Vsir	V-set immunoregulatory receptor	MGI:MGI:1921298	4632428N05Rik|Dies1|PD-1H|VISTA
Gdf9	growth differentiation factor 9	MGI:MGI:95692	Gdf-9
Mstn	myostatin	MGI:MGI:95691	Gdf8
Gdf7	growth differentiation factor 7	MGI:MGI:95690	BMP12
Csrnp2	cysteine-serine-rich nuclear protein 2	MGI:MGI:2386852	CSRNP-2
Chmp1a	charged multivesicular body protein 1A	MGI:MGI:1920159	2900018H07Rik|chromatin modifying protein 1A|Pcoln3
Rgmb	repulsive guidance molecule family member B	MGI:MGI:1916049	1110059F19Rik|DRAGON|RGM domain family, member B
Gdf6	growth differentiation factor 6	MGI:MGI:95689	BMP13
Gdf5	growth differentiation factor 5	MGI:MGI:95688	bp|brp|cartilage-derived morphogenetic protein-1|CDMP-1
Gdf3	growth differentiation factor 3	MGI:MGI:95686	ecat9|Gdf-3|Vgr2|Vgr-2
Gdf10	growth differentiation factor 10	MGI:MGI:95684	Bmp3b
Fcor	Foxo1 corepressor	MGI:MGI:1915484	2400009B08Rik
Gcg	glucagon	MGI:MGI:95674	GLP-1|Glu|glucagon-like peptide I|PPG
Gbx2	gastrulation brain homeobox 2	MGI:MGI:95668	Gbx-2|MMoxA|Stra7
Gbx1	gastrulation brain homeobox 1	MGI:MGI:95667	Gbx-1
Gata4	GATA binding protein 4	MGI:MGI:95664	Gata-4
Gata3	GATA binding protein 3	MGI:MGI:95663	Gata-3|jal
Gata2	GATA binding protein 2	MGI:MGI:95662	Gata-2
Gata1	GATA binding protein 1	MGI:MGI:95661	Gata-1|Gf-1
Gas6	growth arrest specific 6	MGI:MGI:95660	Gas-6|GAS 6|growth arrest-specific
Dmrtc1b	DMRT-like family C1b	MGI:MGI:3639121	Dmrt8.2
Tefm	transcription elongation factor, mitochondrial	MGI:MGI:1915800	1110002N22Rik|FLJ22729
Fubp3	far upstream element (FUSE) binding protein 3	MGI:MGI:2443699	A330051M14Rik|FBP3|Marta2
Gal	galanin	MGI:MGI:95637	Galn
Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	MGI:MGI:103298	
Map3k10	mitogen-activated protein kinase kinase kinase 10	MGI:MGI:1346879	mixed lineage kinase 2|MKN28 derived nonreceptor_type|MKN28 kinase|Mlk2|serine/threonine kinase
Map3k7	mitogen-activated protein kinase kinase kinase 7	MGI:MGI:1346877	Tak1|TGF-beta activated kinase 1|transforming growth factor beta-activated kinase 1|transforming growth factor-beta-activated kinase 1
Map3k2	mitogen-activated protein kinase kinase kinase 2	MGI:MGI:1346873	9630061B06Rik|Mekk2|MEK kinase 2
Map2k6	mitogen-activated protein kinase kinase 6	MGI:MGI:1346870	MAP kinase kinase 6|MKK6|Prkmk6|SAPKK3
Gabpb2	GA repeat binding protein, beta 2	MGI:MGI:95612	1810015F01Rik|9430006E19Rik|A430024B14Rik|Gabpb2-1
Gabpb1	GA repeat binding protein, beta 1	MGI:MGI:95611	BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4Tf1B|GABPB1-1|GABPB1-2|NRF2B1|NRF2B2
Gabpa	GA repeat binding protein, alpha	MGI:MGI:95610	GABPalpha
Map2k3	mitogen-activated protein kinase kinase 3	MGI:MGI:1346868	MAP kinase kinase 3|MKK3|Prkmk3
Map2k2	mitogen-activated protein kinase kinase 2	MGI:MGI:1346867	MAP kinase/Erk kinase|MEK2|Prkmk2
Map2k1	mitogen-activated protein kinase kinase 1	MGI:MGI:1346866	MAP kinase kinase 1|Mek1|Prkmk1
Mapk14	mitogen-activated protein kinase 14	MGI:MGI:1346865	Crk1|Csbp1|CSBP2|Mxi2|p38|p38a|p38alpha|p38 alpha|p38-alpha|p38MAPK|p38 MAPK|p38 MAP Kinase|p38 MAP kinase alpha
Mapk13	mitogen-activated protein kinase 13	MGI:MGI:1346864	p38 delta MAP kinase|SAPK4|Serk4
Mapk10	mitogen-activated protein kinase 10	MGI:MGI:1346863	C230008H04Rik|JNK3|p493F12|Serk2
Mapk9	mitogen-activated protein kinase 9	MGI:MGI:1346862	JNK2|JNK/SAPK alpha|Prkm9
Mapk8	mitogen-activated protein kinase 8	MGI:MGI:1346861	c-Jun N-terminal kinase|JNK1|Prkm8
Tfeb	transcription factor EB	MGI:MGI:103270	bHLHe35|Tcfeb
Gtf2e2	general transcription factor II E, polypeptide 2 (beta subunit)	MGI:MGI:1915403	34kDa|C330006J08Rik
Mapk3	mitogen-activated protein kinase 3	MGI:MGI:1346859	Erk1|Erk-1|Esrk1|Mtap2k|p44erk1|p44mapk|p44 MAP kinase|Prkm3
Mapk1	mitogen-activated protein kinase 1	MGI:MGI:1346858	9030612K14Rik|Erk2|MAPK2|p42mapk|Prkm1
Frk	fyn-related kinase	MGI:MGI:103265	BSK/IYK|GTK
Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	MGI:MGI:103264	GEFH1|GEF-H1|Lbcl1|Lfc|LFP40|P40
Mcf2l	mcf.2 transforming sequence-like	MGI:MGI:103263	C130040G20Rik|Dbs
Nr5a2	nuclear receptor subfamily 5, group A, member 2	MGI:MGI:1346834	D1Ertd308e|Ftf|LRH-1|UF2-H3B
Nr5a1	nuclear receptor subfamily 5, group A, member 1	MGI:MGI:1346833	Ad4BP|adrenal 4-binding protein|ELP|Ftzf1|Ftz-F1|SF1|SF-1|steroidogenic factor 1
Esrrb	estrogen related receptor, beta	MGI:MGI:1346832	Err2|ERRb|Estrrb
Esrra	estrogen related receptor, alpha	MGI:MGI:1346831	Err1|ERRalpha|Estrra|Nr3b1
Efna1	ephrin A1	MGI:MGI:103236	B61|EFL-1|Epl1|Eplg1|Lerk1|LERK-1
Vhl	von Hippel-Lindau tumor suppressor	MGI:MGI:103223	pVHL|Vhlh
Zbtb16	zinc finger and BTB domain containing 16	MGI:MGI:103222	Green's luxoid|PLZF|Zfp145
Meox1	mesenchyme homeobox 1	MGI:MGI:103220	D330041M02Rik|Mox1|Mox-1
Meox2	mesenchyme homeobox 2	MGI:MGI:103219	Gax|Mox2|Mox-2
Acod1	aconitate decarboxylase 1	MGI:MGI:103206	Irg1
Cirh1a	cirrhosis, autosomal recessive 1A (human)	MGI:MGI:1096573	TEG-292|Tex292
Hdac2	histone deacetylase 2	MGI:MGI:1097691	D10Wsu179e|Yy1bp
Bcorl1	BCL6 co-repressor-like 1	MGI:MGI:2443910	6720425J07Rik
Ovol3	ovo like zinc finger 3	MGI:MGI:2388075	LOC381867|movo3
Nr2e3	nuclear receptor subfamily 2, group E, member 3	MGI:MGI:1346317	photoreceptor-specific nuclear receptor|Pnr|RNR
Dnajc17	DnaJ heat shock protein family (Hsp40) member C17	MGI:MGI:1916658	1700025B16Rik|D9Bwg1371e
Nr0b2	nuclear receptor subfamily 0, group B, member 2	MGI:MGI:1346344	SHP|SHP-1|small heterodimer partner
Mlxip	MLX interacting protein	MGI:MGI:2141183	bHLHe36|Mir|Mondoa
Prdm4	PR domain containing 4	MGI:MGI:1920093	1700031E19Rik|2810470D21Rik|SC1|SC-1
Smyd2	SET and MYND domain containing 2	MGI:MGI:1915889	1110020E07Rik|KMT3C|Zmynd14
Zbtb24	zinc finger and BTB domain containing 24	MGI:MGI:3039618	ZNF450
Rpap2	RNA polymerase II associated protein 2	MGI:MGI:2141142	
Ino80	INO80 complex subunit	MGI:MGI:1915392	2310079N15Rik|4632409L19Rik|Inoc1
Fst	follistatin	MGI:MGI:95586	
Cidec	cell death-inducing DFFA-like effector c	MGI:MGI:95585	CIDE-3|CIDE-3alpha|Fsp27
Fosb	FBJ osteosarcoma oncogene B	MGI:MGI:95575	
Fos	FBJ osteosarcoma oncogene	MGI:MGI:95574	c-fos|cFos|D12Rfj1
Tfcp2	transcription factor CP2	MGI:MGI:98509	CP2|CP-2|D230015P20Rik|LBP1|LBP-1c|LBP-1d|LSF|Tcfcp2|UBP-1
Glis1	GLIS family zinc finger 1	MGI:MGI:2386723	GliH1
Nufip1	nuclear fragile X mental retardation protein interacting protein 1	MGI:MGI:1351474	
Flna	filamin, alpha	MGI:MGI:95556	ABP-280|actin-binding protein 280|Dilp2|F730004A14Rik|filamin-1|Fln1|GENA 379
Fli1	Friend leukemia integration 1	MGI:MGI:95554	EWSR2|Fli-1|Sic1|SIC-1
Tfe3	transcription factor E3	MGI:MGI:98511	bHLHe33|F830016E06Rik|Tcfe3|Tfe-3
Foxs1	forkhead box S1	MGI:MGI:95546	Fkh3|Fkhl18|FREAC10
L3mbtl2	l(3)mbt-like 2 (Drosophila)	MGI:MGI:2443584	4732493N06Rik|m4mbt
Fgfr3	fibroblast growth factor receptor 3	MGI:MGI:95524	Fgfr-3|HBGFR|sam3
Fgfr2	fibroblast growth factor receptor 2	MGI:MGI:95523	Bek|Fgfr-2|Fgfr7|Fgfr-7|KGFRTr|svs
Fgfr1	fibroblast growth factor receptor 1	MGI:MGI:95522	Eask|Fgfr-1|Flt-2|Hspy
Fgf7	fibroblast growth factor 7	MGI:MGI:95521	Keratinocyte growth factor|Kgf
Zfp212	Zinc finger protein 212	MGI:MGI:2682609	Znf212
Vgll1	vestigial like family member 1	MGI:MGI:2655768	Tondu
Trpv4	transient receptor potential cation channel, subfamily V, member 4	MGI:MGI:1926945	0610033B08Rik|OTRPC4|Trp12|VRL-2|VROAC|VR-OAC
Fgf2	fibroblast growth factor 2	MGI:MGI:95516	bFGF|Fgf-2|Fgfb
Fgf1	fibroblast growth factor 1	MGI:MGI:95515	Fgf-1|Fgfa|fibroblast growth factor 1 (acidic)
Vegfa	vascular endothelial growth factor A	MGI:MGI:103178	Vegf|VEGF120|VEGF164|VEGF188|VEGF-A|VPF
Zfp354a	zinc finger protein 354A	MGI:MGI:103172	kid1|Tcf17
Gfi1	growth factor independent 1	MGI:MGI:103170	Gfi-1|Pal1|Pal-1
Ccar2	cell cycle activator and apoptosis regulator 2	MGI:MGI:2444228	2610301G19Rik|Dbc1
Kpna6	karyopherin (importin) alpha 6	MGI:MGI:1100836	importin alpha 7|IPOA7|NPI-2
Zfp592	zinc finger protein 592	MGI:MGI:2443541	A730014M16Rik
Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	MGI:MGI:1314884	CD120a|p55|p55-R|TNF-alphaR1|TNF-alpha-R1|TNFalpha-R1|TNFAR|Tnfr1|TNF-R1|TNF-R55|TNFR60|TNF receptor alpha chain|TNFRI|TNF-R-I|TNFRp55
Hipk3	homeodomain interacting protein kinase 3	MGI:MGI:1314882	DYRK6|FIST3
Chaf1b	chromatin assembly factor 1, subunit B (p60)	MGI:MGI:1314881	2600017H24Rik|CAF1|CAF1A|CAF1P60|CAF-1 subunit B|CAF-I 60 kDa subunit|CAF-IP60|MPHOSPH7
Gcn1l1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	MGI:MGI:2444248	G431004K08Rik|GCN1L
Hipk1	homeodomain interacting protein kinase 1	MGI:MGI:1314873	1110062K04Rik|Myak
Pgr	progesterone receptor	MGI:MGI:97567	9930019P03Rik|ENSMUSG00000074510|NR3C3|PR|PR-A|PR-B
Igbp1	immunoglobulin (CD79A) binding protein 1	MGI:MGI:1346500	alpha 4|p52|Pc52|Tap42
Phb	prohibitin	MGI:MGI:97572	
Ptges2	prostaglandin E synthase 2	MGI:MGI:1917592	0610038H10Rik|GBF1|GBF-1
Setd2	SET domain containing 2	MGI:MGI:1918177	4921524K10Rik|KMT3A
Scrt2	scratch family zinc finger 2	MGI:MGI:2139287	
Pim1	proviral integration site 1	MGI:MGI:97584	Pim-1
Ahctf1	AT hook containing transcription factor 1	MGI:MGI:1915033	6230412P20Rik|Elys
Mir466l	microRNA 466l	MGI:MGI:3783378	Mirn466l|mmu-mir-466l
Ilf2	interleukin enhancer binding factor 2	MGI:MGI:1915031	6230405A16Rik|TEG-267|Tex261|Tex267
Zfp639	zinc finger protein 639	MGI:MGI:1915028	6230400O18Rik
Kat8	K(lysine) acetyltransferase 8	MGI:MGI:1915023	2010203C02Rik|5830450F21Rik|D7Ertd629e|MOF|Myst1
Chd8	chromodomain helicase DNA binding protein 8	MGI:MGI:1915022	5830451P18Rik|Duplin
Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	MGI:MGI:2673064	Gitrl|GITR ligand
Zfp786	zinc finger protein 786	MGI:MGI:3026883	A730012O14Rik
Strn3	striatin, calmodulin binding protein 3	MGI:MGI:2151064	SG2NA
Tlx3	T cell leukemia, homeobox 3	MGI:MGI:1351209	Hox11l2|Rnx|Tlx1l2
Prdm10	PR domain containing 10	MGI:MGI:2682952	LOC382066|tristanin
Foxn4	forkhead box N4	MGI:MGI:2151057	
Rnf222	ring finger protein 222	MGI:MGI:2443227	9930039A11Rik
Gatad2b	GATA zinc finger domain containing 2B	MGI:MGI:2443225	C430014D17Rik|p66beta
Dlx6os1	distal-less homeobox 6, opposite strand 1	MGI:MGI:2443217	A230055N17Rik|Dlx6as1|Evf1|Evf-1|Evf1/2|Evf2|Evf-2|mEvf-1|Shhrs
Cggbp1	CGG triplet repeat binding protein 1	MGI:MGI:2146370	
Bend6	BEN domain containing 6	MGI:MGI:2444572	B230209C24Rik
Zfp384	zinc finger protein 384	MGI:MGI:2443203	C130073D16Rik|Ciz|Nmp4
Pspc1	paraspeckle protein 1	MGI:MGI:1913895	5730470C09Rik|PSP1
Mysm1	myb-like, SWIRM and MPN domains 1	MGI:MGI:2444584	C130067A03Rik|C530050H10Rik
Cd81	CD81 antigen	MGI:MGI:1096398	Tapa1|Tapa-1|Tspan28
Zfp322a	zinc finger protein 322A	MGI:MGI:2442566	9630054P07Rik
Esx1	extraembryonic, spermatogenesis, homeobox 1	MGI:MGI:1096388	Spx1
Arntl	aryl hydrocarbon receptor nuclear translocator-like	MGI:MGI:1096381	Arnt3|bHLHe5|Bmal1|MOP3
Rorb	RAR-related orphan receptor beta	MGI:MGI:1343464	hstp|Nr1f2|Rorbeta|RZR-beta
Galr1	galanin receptor 1	MGI:MGI:1096364	Galnr1
Gtf3a	general transcription factor III A	MGI:MGI:1913846	2010015D03Rik|2610111I01Rik|5330403M05Rik
S1pr1	sphingosine-1-phosphate receptor 1	MGI:MGI:1096355	Edg1|S1P|S1P1
Ifnk	interferon kappa	MGI:MGI:2683287	
Esf1	ESF1 nucleolar pre-rRNA processing protein homolog	MGI:MGI:1913830	2610101J03Rik
Ccnc	cyclin C	MGI:MGI:1858199	
Lhx8	LIM homeobox protein 8	MGI:MGI:1096343	L3|Lhx7
Rhoa	ras homolog family member A	MGI:MGI:1096342	Arha|Arha1|Arha2
E2f2	E2F transcription factor 2	MGI:MGI:1096341	
E2f3	E2F transcription factor 3	MGI:MGI:1096340	E2f3a|E2F3b
Tsix	X (inactive)-specific transcript, opposite strand	MGI:MGI:1336196	
Zkscan8	zinc finger with KRAB and SCAN domains 8	MGI:MGI:1913815	2510038J07Rik|D430019P06Rik|LD5-1|Zfp192
Usp2	ubiquitin specific peptidase 2	MGI:MGI:1858178	B930035K21Rik|ubp41
Foxi1	forkhead box I1	MGI:MGI:1096329	Fkh10|Hfh3|HFH-3
Axin1	axin 1	MGI:MGI:1096327	
Mesp2	mesoderm posterior 2	MGI:MGI:1096325	bHLHc6
Drap1	Dr1 associated protein 1 (negative cofactor 2 alpha)	MGI:MGI:1913806	2310074H19Rik
Tcf20	transcription factor 20	MGI:MGI:108399	2810438H08Rik|SPBP|stromelysin 1 PDGF responsive element binding protein
Mlx	MAX-like protein X	MGI:MGI:108398	bHLHd13|BigMax alpha|Tcfl4
Zfp710	zinc finger protein 710	MGI:MGI:1921747	5430400N05Rik
Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit	MGI:MGI:1336173	2310008I11Rik|AMPKalpha2
Tbl1x	transducin (beta)-like 1 X-linked	MGI:MGI:1336172	Tbl1
Btg2	B cell translocation gene 2, anti-proliferative	MGI:MGI:108384	APRO1|Pc3|TIS21
Cflar	CASP8 and FADD-like apoptosis regulator	MGI:MGI:1336166	2310024N18Rik|A430105C05Rik|Cash|Casper|c-Flip|Flip
Zfp202	zinc finger protein 202	MGI:MGI:1933401	C130037E22Rik
Alx4	aristaless-like homeobox 4	MGI:MGI:108359	Aristaless-like 4
Onecut3	one cut domain, family member 3	MGI:MGI:1891409	Oc3|OC-3
Zscan29	zinc finger SCAN domains 29	MGI:MGI:2139317	Zfp690
Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	MGI:MGI:1341087	4930554K12Rik|D130072O21Rik|mTNKS1|TANK1|tankyrase 1
Plagl2	pleiomorphic adenoma gene-like 2	MGI:MGI:1933165	
Prl2c2	prolactin family 2, subfamily c, member 2	MGI:MGI:97618	MRP-1|Plf|Plf1|PLF-1
Pyhin1	pyrin and HIN domain family, member 1	MGI:MGI:2138243	Ifi209|Ifix
Cited4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	MGI:MGI:1861694	Mrg2
Bahd1	bromo adjacent homology domain containing 1	MGI:MGI:2139371	LOC228536
Xpo1	exportin 1	MGI:MGI:2144013	Crm1
Ptgs2os	prostaglandin-endoperoxide synthase 2, opposite strand	MGI:MGI:2443180	7530420F21Rik
Ilk	integrin linked kinase	MGI:MGI:1195267	ESTM24
Per2	period circadian clock 2	MGI:MGI:1195265	mPer2
